definition,estimate_pp,se_pp,low_pp,high_pp,p,n,cadence
legacy_primary,3.1492562556783144,1.3156427255517906,0.5705965135968043,5.727915997759824,0.0166793068180634,180695,latest_pre_tip
harmonized_linear,1.7746566172121114,1.313416621212169,-0.7996399603637395,4.348953194787962,0.1766391580366461,180695,latest_pre_tip
legacy_primary,2.6304485901569383,1.3187240875355293,0.0457493785873012,5.215147801726576,0.0460764656930466,180530,harmonized_common_times
harmonized_linear,1.2389703651133357,1.3186981358830614,-1.3456779812174648,3.823618711444136,0.3474532856699015,180530,harmonized_common_times
