definition,B,seed,n,games,strata,observed_pp,perm_mean_pp,perm_sd_pp,perm_q025_pp,perm_q975_pp,p_two_sided,p_upper,permutation_unit,stratification,interpretation
legacy_primary,99,20260811,180695,7113,41,3.153331647222192,0.26649891554697985,1.6718371859190126,-3.369803773588867,3.4900458619364816,0.09,0.06,game,season x calendar month,"randomization-style placebo; national-TV assignment is observational, so not an exact Fisher test"
harmonized_linear,99,20260811,180695,7113,41,1.7794064259697258,0.1235462219058839,1.7305582985917491,-3.7567357432468245,3.227043175278653,0.26,0.13,game,season x calendar month,"randomization-style placebo; national-TV assignment is observational, so not an exact Fisher test"
