tv_definition,C,class,average_probability_ddd_pp,n,iterations,seconds
legacy_primary,1.0,other,0.6832157221583017,180695,346,10.813632011413574
legacy_primary,1.0,plays,-1.8400251732339723,180695,346,10.813632011413574
legacy_primary,1.0,rest,0.3901860936885439,180695,346,10.813632011413574
legacy_primary,1.0,specific,0.38857042964119404,180695,346,10.813632011413574
legacy_primary,1.0,vague,0.37805292774204974,180695,346,10.813632011413574
harmonized_linear,1.0,other,0.2177331267847367,180695,326,9.79890775680542
harmonized_linear,1.0,plays,-0.93232578744743,180695,326,9.79890775680542
harmonized_linear,1.0,rest,0.4121779555520906,180695,326,9.79890775680542
harmonized_linear,1.0,specific,0.14795315088358668,180695,326,9.79890775680542
harmonized_linear,1.0,vague,0.15446155422601543,180695,326,9.79890775680542
