heterogeneity,definition,tv_definition,n,games,players,h1_n,h0_n,ddd_h0_pp,ddd_h0_se_pp,ddd_h0_p,ddd_h1_pp,ddd_h1_se_pp,ddd_h1_p,difference_h1_minus_h0_pp,difference_se_pp,heterogeneity_p,iterations,heterogeneity_q_bh
back_to_back,Current game is the second night of a back-to-back.,announced_tv_primary,180695,7113,1114,32924,147771,2.6404351496149583,1.1613134116776884,0.022986266051295487,-2.8430804068297424,5.164205764840241,0.5819518952823128,-5.483515556444701,5.188156562340388,0.29054377836806355,101,0.3926644476472738
back_to_back,Current game is the second night of a back-to-back.,tv_harmonized_linear,180695,7113,1114,32924,147771,1.392043919841872,1.1462217220815578,0.2245709543872214,-4.8548257342938275,5.135012823224293,0.34443635512195747,-6.246869654135699,5.098210728119214,0.22045984075366398,101,0.44091968150732797
weak_opponent,Opponent is in the pregame bottom quartile of the strength distribution.,announced_tv_primary,180695,7113,1114,48268,132427,3.4259379977253404,1.398509961254444,0.014297297004075423,5.059090186082785,3.7483412482617315,0.1771161701820183,1.6331521883574445,3.901715713431763,0.6755283496681723,101,0.6755283496681723
weak_opponent,Opponent is in the pregame bottom quartile of the strength distribution.,tv_harmonized_linear,180695,7113,1114,48268,132427,1.83928444540381,1.355241328714671,0.17472917631584406,5.347703917350069,3.8469490894414466,0.16449377881137728,3.5084194719462594,3.9753772987813822,0.37748621964400786,101,0.5033149595253438
high_recent_workload,Prior-10-game minutes at or above the season-specific 75th percentile; sample requires at least 10 prior roster games.,announced_tv_primary,139535,6348,910,34886,104649,0.24542417897556248,2.4641459277510536,0.9206634260046864,3.884297367327292,1.63633790142538,0.01760729463167677,3.6388731883517296,2.8712219270197363,0.2050264254037445,116,0.3926644476472738
high_recent_workload,Prior-10-game minutes at or above the season-specific 75th percentile; sample requires at least 10 prior roster games.,tv_harmonized_linear,139535,6348,910,34886,104649,-1.3714612763809901,2.3564534541843525,0.5605651470273998,2.754569372762911,1.6898169567276171,0.1030805198514733,4.126030649143901,2.8703475980722786,0.15058527395827387,116,0.44091968150732797
near_65_threshold,"Among player-games 0-15 games short of 65, H=1 means 0-5 games short and H=0 means 6-15 games short.",announced_tv_primary,22443,2720,591,6717,15726,0.4103925223936871,3.0129247774563437,0.8916547351506762,5.740878607570874,4.202467414111483,0.17191595180667008,5.330486085177187,5.084864246044677,0.29449833573545536,250,0.3926644476472738
near_65_threshold,"Among player-games 0-15 games short of 65, H=1 means 0-5 games short and H=0 means 6-15 games short.",tv_harmonized_linear,22443,2720,591,6717,15726,1.428316945851827,3.106956244721567,0.6457202108438733,3.5714238810695855,4.000147074611775,0.37195189105956383,2.1431069352177583,5.0546132819807985,0.6715728970565941,250,0.6715728970565941
